exclude,duration,date,subjectcode,a,b,c,d,e,f,g,h,gender,age,state,languages,english.primary,race1,race2,race3,race4,race5,race6,race7,race8,race9,race.text,religion1,religion2,religion3,religion4,religion5,religion6,religion7,religion8,religion9,religion10,religion11,religion12,religion13,religion.text,religiosity1,religiosity2,religiosity3,religiosity4,religiosity5,religiosity6,politics,income,education,comments 
,713,9/5/23 20:24,R_11ZPzHCxndBB3X5,,,,,5,,$1 million,He is a very unreasonable person.,Female,49,15,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,13,3,2,Everything was clear! :)
,119,9/5/23 20:25,R_2e8BTw0BNKKeDgd,,,,,5,,1 million dollars,"that he is unreasonable and protective of his house, he is a curmudgeon ",female,30,44,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,12,11,6,n/a
,259,9/5/23 20:25,R_2doUjO7AsaGBRxp,1,100000,1 million dollars,he is a very reasonable person,,,,,male,43,34,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,15,8,3,no
,219,9/5/23 20:25,R_2pS5a2bmK6bdnrI,1,500000,1000000,That he is very easy going.,,,,,Male,24,33,English,5,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,12,14,3,Very interesting study. Thank you for the opportunity to participate.
,435,9/5/23 20:26,R_x4t18Bsnv1ocXm1,,,,,1,75000,1 million,that he is unreasonable ,female,44,33,"english, urdu",5,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,13,10,3,
,360,9/5/23 20:26,R_3fwLy8nZsHkh5p8,1,500000,1 milion of dollars,That he is a reasonable person,,,,,Male,52,11,Spanish and English,6,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,12,12,5,I think is clear
,146,9/5/23 20:27,R_3m1Mo9MUcEVHPph,,,,,6,,$1 million dollars,Not that good. He thinks he's unreasonable person.,Female,54,45,"Bulgarian, English, French",6,,,,,,,1,,,,,,,1,,,,,,,,,,,,1,,,,,14,8,6,
,320,9/5/23 20:27,R_AL4CO74tIZhr75n,1,50000,1 million dollars,Very reasonable person,,,,,Female,31,10,English,5,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,13,4,4,The study was very clear 
,143,9/5/23 20:29,R_5BYdQtehOyrithf,1,50000,1 million dollars ,Very reasonable ,,,,,Female ,38,50,English ,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,13,9,4,
,149,9/5/23 20:29,R_spUsLGzRPqjrBeN,,,,,5,,$ 1 million,his neighbor is unreasonable and protective of his house,female,27,10,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,14,9,5,
,214,9/5/23 20:29,R_AuR0ZMHWrRWGe7D,5,,1 million dollars,he is a very reasonable person and probably agree to have his house painted,,,,,Male,40,5,English,5,,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,13,11,5,
,163,9/5/23 20:30,R_3fZxDnvHDBRpUmO,,,,,5,,$1 million,He is unreasonable and very protective of his house.,female,42,3,"English, Tagalog",5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,12,10,6,
,125,9/5/23 20:33,R_3lSJXIK3qLKiztV,1,500,$1 million ,He thinks his neighbor is nice and wouldn't mind having his house painted as long as it meant Hank was better off,,,,,Female,26,49,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,15,3,3,
,113,9/5/23 20:34,R_2vZxEtrKJQ3JUWi,1,50000,1 million dollars,he thinks he's a reasonable person and seems to like him. ,,,,,female,34,38,English,5,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,14,11,5,No - thank you! 
,198,9/5/23 20:35,R_2aOC5l4TT49n8J9,,,,,6,,1 million dollars,unreasonable,male,55,31,english,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,12,6,3,no
,242,9/5/23 20:35,R_3PH1BHCmgtwAECU,5,,1 million dollars cash,He knows he is a very reasonable person that would agree to have his house painted,,,,,male,38,11,English,5,,,,,,,,,1,,,,,,,,,,,,,,1,Christian,,,,1,,,11,1,2,"nothing at all, but i enjoyed it and this was fun"
,158,9/5/23 20:35,R_2y3Iruqi0QkwsMO,,,,,5,,1 million dollars,that he is unreasonable,female,31,5,"English, Arabic",5,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,13,11,3,no It was very clear
,127,9/5/23 20:36,R_3CTnj00GNZrLKfi,6,,1 million dollars,his neighbor is a very reasonable person,,,,,trans woman,26,46,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,15,5,3,"No, I would take the million and paint the house personally."
,263,9/5/23 20:36,R_zZvbqaZm2b9jlkZ,,,,,5,,1 million dollars,That the neighbor is unreasonable and very protective of his house and probably wouldn't agree to this. ,Female,35,10,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,14,3,4,
,230,9/5/23 20:37,R_0PyaW8kMvkGbJGp,1,500000,Million dollars,He’s a reasonable person ,,,,,Male ,37,23,English ,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,11,10,2,
,127,9/5/23 20:38,R_2UXirmsRl8sqjz7,1,500000,$1 million,He believes him to be a reasonable person,,,,,male,22,45,english,5,,,,,,,1,,,,,1,,,,,,,,1,,,,,,1,,,,,14,4,3,
,176,9/5/23 20:40,R_1gTrDhzBMbPeNvK,,,,,1,100000,1000000 dollars,Hank thinks he neighbor is an unreasonable person,male,23,3,english,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,11,12,5,no
,111,9/5/23 20:40,R_uqvv6SKyU7JXCMN,1,250000,1 million dollars,That his neighbor is a very reasonable person who would probably agree to have his house painted,,,,,Non-Binary,27,34,English,5,,,,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,15,2,3,
,265,9/5/23 20:43,R_8q5sAT0wBgmbKPD,5,,One million dollars.,Very reasonable person who would probably be okay with it.,,,,,female,60,5,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,14,10,4,
,162,9/5/23 20:43,R_2DYYbQppT6CYshO,,,,,5,,1 millon dollars,unreasonable and incredibly protective,Male,28,6,English,5,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,14,7,5,
,166,9/5/23 20:43,R_2s54Uu9yKLsP2Rh,,,,,1,500000,$1 million dollars in cash,He thinks his neighbor is very unreasonable and protectice of his property.,Male,33,21,English and Italian,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,15,7,5,
,281,9/5/23 20:44,R_3p4hevokCGU4NPH,,,,,1,500000,1 million dollars,Hank feels his neighbor is unreasonable,male,62,49,English,5,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,14,5,5,"Nothing to report, thank you"
,622,9/5/23 20:44,R_2qgttPjnUavBYPQ,,,,,5,,$1 million ,is a very unreasonable person,Male,29,33,English,5,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,12,5,4,No
,170,9/5/23 20:45,R_1pFCgLELqRmb1nk,6,,1 million dollars,He is reasonable,,,,,Female,32,5,English ,5,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,13,12,5,No
,137,9/5/23 20:45,R_3nqtJ56RqAJsuO6,,,,,5,,One million dollars,Hank knows his neighbor is unreasonable and protective of his house.,Male,40,3,English,5,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,1,,,,12,4,5,
,170,9/5/23 20:46,R_1LLrRTtuqm4dY3a,5,,1 million dollars,That he is reasonable and would probably agree to have his house painted,,,,,Female,30,45,English,5,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,12,5,6,
,189,9/5/23 20:47,R_39iv1XdkCH4ffdT,,,,,1,500000,$1 million dollars,His neighbor is an unreasonable person and is protective of his house so he will most likely refuse to have his house painted,Female,27,45,Spanish and English ,5,,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,1,,,15,10,4,
,256,9/5/23 20:47,R_2xPDI202CFHWAzr,1,10000,$1 million dollars,His neighbor is reasonable.,,,,,Male,30,45,English,5,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,,,13,11,5,All clear
,456,9/5/23 21:02,R_3n8zrjCY3fFUlu4,1,100000,1000000,reasonable,,,,,male,46,1,english,5,,,1,,,,,,,,,,,,,,,,,,,,1,spiritual,,1,,,,,13,4,4,No
,346,9/5/23 21:03,R_3KBmluf8XWpVWcb,,,,,1,500000,1000000,unreasonable and protective of his property,male,46,5,English,5,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,12,11,5,
,130,9/6/23 1:30,R_3G203a3ilyX7uhJ,,,,,1,20000,$1 million dollars,"He doesn't seem to like him, as he is unreasonable and protective of his house.",cis female,29,26,English,5,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,,,15,5,5,
,264,9/6/23 1:36,R_2qBIF4IXU5wTwyl,5,,one million dollars,"he's nice and probably wouldn't mind, if he could profit from it",,,,,Female,41,33,English,5,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,13,1,5,
